# id	name	mnn
2083	Палбоциклиб-Амедарт	-
2084	Палбоциклиб-Промомед	-
2082	Палбоциклиб Фармасинтез	-
2085	Палбоциклиб-Химрар	-
2086	Палексия ретард	-
4028	Паликсид-Рихтер	донепезил
11575	Палин	пипемидовая кислота
2087	Палиперидон	-
2088	Палоносетрон	-
4982	Палпростес	пальмы ползучей плодов экстракт&
2089	Пальмапрост	-
9889	Пальмы Сабаля плодов экстракт	пальмы ползучей плодов экстракт
2090	Памба	-
8868	Памидронат медак	памидроновая кислота
7095	П-аминобензойная кислота	аминобензойная кислота
4685	Панавир	полисахариды побегов solanum tuberosum
2091	Панавир &reg;	-
8587	Панаген	дезоксирибонуклеат натрия
4992	Панама	толгецит®
5205	Панама «Tolmar	corp
2092	Панангин &reg;	-
2093	Панаспар	-
5991	Панграф	такролимус
2094	Панграф &reg;	-
9163	Пандефлю	~
3700	Пантогам	гопантеновая кислота
8511	Пантогам актив	-
10029	Пантокальцин	гопантеновая кислота
4616	Пантокрин	~
10112	Пантокрин «Пантея»	~
13307	Пантокрин Пантея	~
3513	Пантоцид	галазон
7964	Панцеф	цефиксим
13665	Панциол	пантов северного оленя экстракт
8657	Паракт	карбоплатин
12402	Параплатин	карбоплатин
12843	Паркон	водорода пероксид
12181	Парлодел	бромокриптин
4215	Парнасан	оланзапин
13327	Пародол Эдас-122	~
13328	Пародол Эдас-922	~
13252	Пародонтоцид	~
6131	Пароксетин	пароксетин
8471	Пароксетина гидрохлорид гемигидрат	пароксетин
9404	Партобулин СДФ	иммуноглобулин человека антирезус rho[d]
13336	Пассамбра Эдас-306	~
10945	Пассидорм	~
13283	Пассифит	~
13712	Пассифлора Эдас-111	~
6274	Пассифлора ЭДАС-911	~
7775	Пассифлоры экстракт	страстоцвета мясо-красного травы экстракт
3671	Пастушьей сумки трава	пастушьей сумки трава
12095	Патентекс Овал Н	ноноксинол
9034	Пауэркорт	клобетазол
9898	Пегилированный рекомбинантный гранулоцитарный колониестимулирующий фактор человека	эмпэгфилграстим
13357	Педифен	~
2095	Пектолван &reg; Плющ	-
6163	Пектолван плющ	плюща листьев экстракт
10713	Пектрол	изосорбида мононитрат
2096	Пектусин	-
13489	Пектусин М	~
2097	Пеларговир	-
13359	Пеликсим	~
2098	Пелубио &reg;	-
2099	Пембронекст	-
2100	Пемброриа	-
2101	Пемджем &reg;	-
2102	Пемелан &reg;	-
2103	Пеметрексед	-
2106	Пеметрексед-Амедарт	-
2107	Пеметрексед-Деко	-
2104	Пеметрексед Дж	-
9952	Пеметрексед динатрия	пеметрексед
2105	Пеметрексед Канон	-
2108	Пеметрексед-Келун-Казфарм	-
2109	Пеметрексед-Натив	-
2110	Пеметрексед-Промомед	-
2111	Пеметрексед-Рус	-
2113	Пеметрексед-Тева	-
2112	Пеметрексед-ТЛ	-
2114	Пемиксамаль	-
